user_genome	Kingdom	Phylum	Class	Order	Family	Genus	Species
FDZ058-Be16-18.bin.239	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ051-Be22-24.bin.160	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ081-BeBeG2-4.bin.365	Archaea	Micrarchaeota	Micrarchaeia	CABMEP01	CABMEP01		
FDZ060-GBeBe18-20.bin.153	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
FDZ070-GBeBe24-26.bin.169	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
FDZ074-GRR20-22.bin.45	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ071-RRR8-10.bin.545	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ061-WW16-18.bin.164	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ054-RG30-32.bin.37	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ051-Be18-20.bin.143	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGVZT01	JAFCGF01	
FDZ074-WuWW12-14.bin.117	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JAGVXV01	
FDZ076-RGWu4-6.bin.772	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ076-GGR16-18.bin.25	Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	GW2011-AR20		
FDZ070-WuWY18-20.bin.252	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	CALCXY01		
FDZ054-RG8-10.bin.49	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ058-Be4-6.bin.422	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	PFCU01	
FDZ071-BUG2-4.bin.474	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAUSIK01	
FDZ074-WuWW8-10.bin.342	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	JAEHKU01	JAEHKU01 sp016838825
FDZ081-YWG26-28.bin.196	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	
FDZ074-GRR8-10.bin.119	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ074-WuYW0-2.bin.174	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ046-G4-6.bin.71	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ARS1285	
FDZ074-WuYW0-2.bin.79	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ071-RRG30-32.bin.13	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-WuBeBe16-18.bin.355	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAFCFN01		
FDZ074-GRR2-4.bin.307	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ056-Be8-10.bin.75	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JAGVXV01	
FDZ064-RWG20-22.bin.43	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ069-WuWuWu2-4.bin.26	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ043-RG16-18.bin.244	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA525	UBA525	
FDZ061-WW18-20.bin.287	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	B3-WOES	B3-WOES	
FDZ070-RYBk10-12.bin.150	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ063-WW4-6.bin.99	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ081-WW30-32.bin.7	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	
FDZ081-YWG26-28.bin.99	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPDF01	
FDZ074-WuRG20-22.bin.152	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ071-RWG2-4.bin.213	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ064-BaGW12-14.bin.40	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-WuBeBe0-2.bin.697	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JABIAG01		
FDZ041-Be15-20.bin.806	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGLXL01		
FDZ064-RWG22-24.bin.67	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ061-WW16-18.bin.950	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAHIVG01		
FDZ060-HbY4-6.bin.9	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVWR01	
FDZ077-WuWW18-20.bin.593	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	CALCXY01		
FDZ062-RRR4-6.bin.122	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ053-RBk18-20.bin.316	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	B3-WOES	B3-WOES	
FDZ074-WuRG24-26.bin.39	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ060-GBeBe12-14.bin.101	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ076-Wu8-10.bin.112	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	JACEMX01	JACEMX01 sp022562615
FDZ070-WuRG12-14.bin.402	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2686295	GCA-2686295	
FDZ070-GBkY30-33.bin.1	Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales			
FDZ070-WuBeBe14-16.bin.312	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAFGUC01		
FDZ069-RBkY20-22.bin.101	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-WuRG12-14.bin.40	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ071-BuBuG14-16.bin.218	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR9	JAUYPT01	
FDZ074-GRR2-4.bin.320	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sp013215285
FDZ054-RG4-6.bin.413	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ050-RBk20-22.bin.347	Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	GCA-2688095		
FDZ070-RYBk24-26.bin.38	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ062-WuYW0-2.bin.22	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ054-RG20-22.bin.31	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ARS1285	
FDZ066-BUG32-34.bin.307	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ069-WuBeBe20-22.bin.10	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ060-HbY24-26.bin.296	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ044-RBk10-12.bin.358	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBkY20-22.bin.318	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ060-HbY14-16.bin.555	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ070-GBkY8-10.bin.343	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ061-WW16-18.bin.1130	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2686295	GCA-2686295	
FDZ062-RRR24-26.bin.6	Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	JACPIM01		
FDZ076-BkWG24-26.bin.373	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2686295		
FDZ051-Be6-8.bin.64	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	PSPM01	
FDZ081-Wu26-28.bin.395	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	JACPJP01 sp022565235
FDZ074-WuYW0-2.bin.476	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGVYU01		
FDZ064-RWG10-12.bin.155	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ062-RRR12-14.bin.134	Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	JACPNG01		
FDZ062-WuYW26-28.bin.6	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBkY28-30.bin.37	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ077-WuWW18-20.bin.606	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ062-GYBk8-10.bin.84	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA11576		
FDZ063-YBkR4-6.bin.218	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ081-BeBeG14-16.bin.334	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ074-WuRG28-30.bin.15	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ041-Be15-20.bin.585	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	WJKL01		
FDZ076-RGWu6-8.bin.269	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ066-BawG0-2.bin.493	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales			
FDZ039-Y4-6.bin.412	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	UBA12030	JACZVS01	
FDZ070-GBkY0-2.bin.307	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	WJKL01		
FDZ081-WBaG20-22.bin.30	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ASMP01	
FDZ074-GRR6-8.bin.370	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	JAFGRH01	
FDZ061-WW16-18.bin.592	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JACQNA01		
FDZ081-YWG2-4.bin.92	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	CSP1-1	
FDZ069-R30-2.bin.184	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAFCGC01	
FDZ064-BaGW6-8.bin.102	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ061-WW8-10.bin.523	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ061-WW18-20.bin.432	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA11576		
FDZ046-Be18-20.bin.156	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	UBA73	
FDZ043-RG0-2.bin.234	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ074-WuWW0-2.bin.259	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ070-RYBk22-24.bin.119	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ077-WuWW8-10.bin.100	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JACPBV01		
FDZ081-BeBeG2-4.bin.409	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	UBA12030		
FDZ081-YBaR22-24.bin.210	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ071-RRG16-18.bin.435	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	ARS49		
FDZ072-WRR4-6.bin.477	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ060-GBkWNs.bin.684	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	BS150m-G66	
FDZ074-WuYW8-10.bin.517	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ071-WGBa2-4.bin.39	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JABIAG01		
FDZ064-BaGW12-14.bin.353	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JADFRY01	
FDZ051-Be14-16.bin.163	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ081-WW30-32.bin.15	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ062-GYBk8-10.bin.159	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	UBA12030	JACZVS01	
FDZ072-WuWY18-20.bin.15	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sp022573895
FDZ070-WuBeBe2-4.bin.717	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JABGUJ01		
FDZ069-R38-10.bin.147	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ076-BkWG22-24.bin.331	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10107		
FDZ070-GBkY4-6.bin.123	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Kariarchaeaceae		
FDZ072-GBeBe4-6.bin.1	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	
FDZ070-WuBeBe18-20.bin.386	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	JAHJTO01		
FDZ050-RBk14-16.bin.132	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2686295	GCA-2686295	
FDZ069-GBeBe16-18.bin.182	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ069-RBkY10-12.bin.40	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JAGVXV01	
FDZ070-WuBeBe20-23.bin.335	Archaea	Micrarchaeota	Micrarchaeia	CABMEP01	CABMEP01		
FDZ071-BUG2-4.bin.164	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	QMZP01	BS750m-G81	
FDZ069-R38-10.bin.197	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	UBA492	
FDZ076-WWWu2-4.bin.432	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ058-Be16-18.bin.212	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ076-RRW4-6.bin.40	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	GW2011-AR10	JACPKT01	
FDZ054-RG8-10.bin.153	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ070-WuBeBe2-4.bin.252	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	WJKL01		
FDZ074-WuWW12-14.bin.81	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	JAPUIC01	JAPUIC01	JAPUIC01 sp027297425
FDZ069-RGG12-14.bin.6	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ071-WGBa2-4.bin.184	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	WJKL01		
FDZ039-YBe4-6.bin.144	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JWKY01	
FDZ066-BawG0-2.bin.955	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ069-GRR20-22.bin.179	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	
FDZ072-WuWW8-10.bin.310	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JWKY01	
FDZ054-Be32-34.bin.69	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	GW2011-AR10	JACPKT01	
FDZ070-GBeBe8-10.bin.193	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ053-RBk2-4.bin.111	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ061-WW16-18.bin.277	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Iainarchaeaceae	UBA493	
FDZ070-WuRG4-6.bin.507	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ070-RYBk18-20.bin.64	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ072-GWBk6-8.bin.38	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	DRGT01	DRGT01 sp016838795
FDZ070-WuWW12-14.bin.126	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	UBA73	
FDZ081-Wu26-28.bin.90	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	PFCY01	
FDZ070-RYBk22-24.bin.38	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA12501	1-14-0-10-44-13	
FDZ081-BeBeG2-4.bin.191	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	UBA492	
FDZ076-Wu2-4.bin.139	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ077-WuWW4-6.bin.129	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2685855		
FDZ076-WWWu2-4.bin.420	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	
FDZ061-WW16-18.bin.1042	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ081-WW14-16.bin.74	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	UBA492	
FDZ064-BaGW12-14.bin.73	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ053-RBk10-12.bin.405	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ062-WuWW6-8.bin.230	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SCSR01	JABABT01	
FDZ062-WuYW2-4.bin.160	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	JAHJTO01		
FDZ076-BkWG0-2.bin.363	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sp950073955
FDZ071-RWG4-6.bin.197	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ076-WRG10-12.bin.476	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ071-BUG4-6.bin.228	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ069-RGY4-6.bin.88	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBkY16-18.bin.197	Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	JACPIM01		
FDZ060-RGYNs1.bin.199	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JACQNA01		
FDZ070-GBkYWu.bin.118	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGVYU01		
FDZ069-R36-8.bin.185	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBkY16-18.bin.91	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ARS1285	
FDZ061-WW26-28.bin.92	Archaea	Micrarchaeota	Micrarchaeia	CABMEP01	CABMEP01		
FDZ063-WW2-4.bin.39	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ064-BuG16-18.bin.104	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	
FDZ062-WuWW8-10.bin.69	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ071-WGBa10-12.bin.224	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	UBA492	
FDZ053-RBk18-20.bin.290	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	
FDZ062-GYBe8-10.bin.44	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACOZO01	
FDZ066-ww2-4.bin.314	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXA01	
FDZ076-WRG0-2.bin.935	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
